Loading configuration file "../inputs/tiny.inp" ...
Initializing simulation state ...
# x y z u v w
3.30072 2.33644 2.3675 -0.00852432 -0.0734853 0.0187445
3.18533 2.47602 1.98072 -0.0327058 -0.0274321 0.0133251
3.07025 2.40512 2.40346 0.00511806 -0.0712695 0.0491265
3.28614 2.22879 2.185 -0.0160722 -0.0234497 -0.0526612
3.06651 2.06143 2.44686 0.00663722 0.0361466 0.085987
3.14093 2.27321 1.90441 -0.0222792 -0.0486266 0.0133653
3.12136 2.01508 1.93224 -0.0154547 0.0316365 0.0165469
3.26139 2.17406 2.38776 -0.0259965 0.00691465 0.0357027
2.99592 2.08613 2.06 0.0302614 0.0347962 -0.0107478
3.24396 1.94429 2.4215 -0.030692 0.0139977 0.0645696
3.49356 2.48417 1.97771 0.155848 -0.0193383 0.0138225
3.37482 2.31745 2.40042 0.0447965 -0.0681465 0.0465216
2.90731 1.93669 2.32434 0.0338946 0.0119237 -0.0139003
3.04202 2.00784 2.35025 0.016167 0.0302511 0.00496597
2.96429 2.3976 2.28286 0.0355787 -0.0733514 -0.0375993
3.229 2.23171 2.43869 -0.0331851 -0.025162 0.0791291
3.49522 2.15874 2.16154 0.160309 0.0141133 -0.0481517
3.02651 2.35506 2.32803 0.0215968 -0.0764368 -0.0113753
3.10116 1.95318 2.04559 -0.00756888 0.0164597 -0.00516219
3.10594 1.91907 2.3953 -0.00948714 0.00737765 0.0421359
3.24176 2.08794 2.06202 -0.031147 0.0345828 -0.0115508
3.43997 2.23536 2.2751 0.100203 -0.0273007 -0.0409624
3.46539 2.24804 1.98801 0.121764 -0.0346795 0.0119688
3.06206 2.2881 1.91887 0.00842975 -0.056095 0.015525
3.44832 2.27293 2.2805 0.107218 -0.048481 -0.0386599
3.06791 2.11782 2.23686 0.00606948 0.0287709 -0.0520514
3.33281 1.92218 2.39376 0.0119768 0.0081428 0.0408157
3.08888 2.09013 2.48629 -0.00254764 0.0343046 0.123195
2.91793 2.11999 2.13696 0.0354195 0.0281806 -0.0409808
3.0322 2.3899 2.3129 0.0196742 -0.0749937 -0.0213327
3.03369 1.91007 2.02181 0.0191559 0.00527975 0.00311927
3.45769 2.18449 2.11924 0.115127 0.00158943 -0.0346579
2.96855 2.48358 2.41906 0.0351044 -0.0199488 0.0624862
