Loading configuration file "../inputs/tiny.inp" ...
Initializing simulation state ...
# x y z u v w
1.76834 1.6163 2.2504 0.0242042 -0.0307732 -0.0491833
1.69366 1.28252 2.12796 0.03674 0.00472352 -0.0378686
1.81146 1.79974 2.14475 0.00867215 -0.0635586 -0.043484
1.66096 1.65993 2.28652 0.034491 -0.0545714 -0.0358874
1.93098 1.25535 2.09211 -0.0320763 0.000317376 -0.0238775
1.62698 1.43481 2.40478 0.0235885 0.0361366 0.050258
1.96145 1.45984 2.08435 -0.0343341 0.0349388 -0.020682
2.24787 1.60933 2.21626 0.171661 -0.0267006 -0.054206
1.84645 1.57645 2.22878 -0.00565645 -0.00764368 -0.0532105
1.65301 1.58444 2.468 0.033091 -0.0121848 0.104083
1.93338 1.63665 1.99002 -0.032436 -0.0423811 0.011558
1.9077 1.60613 1.98224 -0.0271791 -0.0248223 0.0130608
1.81853 1.38462 2.08241 0.00581774 0.0306057 -0.019882
1.81625 1.60726 2.08996 0.00674589 -0.0254844 -0.0229948
1.75103 1.74666 2.35864 0.0290345 -0.0769401 0.011572
1.84529 1.35402 2.21057 -0.00518381 0.0234937 -0.0543426
1.92008 1.3013 2.32342 -0.0300899 0.0091836 -0.01452
1.7778 1.34945 2.48795 0.021169 0.0222905 0.12553
1.74817 1.30194 2.1998 0.0297327 0.00934922 -0.0540804
1.92433 1.49805 2.18291 -0.030932 0.0273127 -0.0523668
2.07636 1.5627 1.88476 0.00747604 -0.000107054 0.00794377
1.90989 1.46792 2.28394 -0.0277431 0.0339152 -0.037102
1.69929 1.66691 2.15931 0.0366129 -0.0578792 -0.0475962
1.98189 1.86144 1.89565 -0.0328131 -0.0169223 0.011414
2.0617 1.85733 1.92348 -0.00207214 -0.021238 0.015978
1.9833 1.29073 2.46925 -0.0326124 0.00657773 0.105213
1.86181 1.60156 1.90525 -0.0118053 -0.02214 0.013524
1.73506 1.68644 1.95701 0.0325426 -0.0660239 0.0162054
2.14114 1.2966 1.94105 0.0585795 0.0079988 0.0167496
1.85198 1.66672 2.4448 -0.00790102 -0.0577924 0.0842601
1.98527 1.77667 2.21048 -0.0323123 -0.0722844 -0.0543432
1.84972 1.68085 2.32459 -0.00698481 -0.0638744 -0.013735
1.71633 1.73508 2.12167 0.0353609 -0.0768091 -0.0355693
2.23245 1.4243 2.14767 0.138417 0.0357911 -0.0443707
1.96966 1.40241 1.94349 -0.0340309 0.033621 0.0167416
2.05701 1.48254 1.94612 -0.0049074 0.0312568 0.0167023
2.13208 1.54139 1.8914 0.0508892 0.0106212 0.0102365
1.98184 1.66658 2.40847 -0.0328208 -0.0577263 0.0534219
1.89869 1.51358 2.44435 -0.0246738 0.0222417 0.0838811
2.07012 1.78603 2.36735 0.00328357 -0.0692924 0.0186217
2.20595 1.73344 2.32911 0.113646 -0.076708 -0.0106278
1.9368 1.6573 2.26693 -0.0328969 -0.0532782 -0.0441029
1.74285 1.77347 2.22543 0.0309534 -0.0731356 -0.0535716
1.78746 1.59582 2.26262 0.0178208 -0.0187787 -0.0455923
1.94891 1.55923 1.9946 -0.0340288 0.00172665 0.0105634
1.7405 1.67372 2.22109 0.0314571 -0.0609186 -0.0539365
1.88574 1.29424 2.34347 -0.0205722 0.00741834 -0.000207183
2.2462 1.38967 1.91829 0.163636 0.0315613 0.0154608
1.90989 1.83881 2.24211 -0.0277417 -0.0382274 -0.051078
2.15809 1.37642 1.9201 0.0730973 0.0289035 0.015657
1.91402 1.30975 2.41082 -0.0287479 0.0114024 0.05544
1.7825 1.44906 2.08595 0.019569 0.0358142 -0.0213406
1.77516 1.68404 2.19324 0.0220398 -0.0651206 -0.0535978
2.09493 1.69115 2.18399 0.0208944 -0.0677038 -0.0525215
1.67925 1.86279 1.91555 0.0363947 -0.0154566 0.0151319
2.14942 1.66699 2.49466 0.0656627 -0.0579181 0.138693
2.20138 1.69662 2.313 0.109788 -0.0695025 -0.0212683
1.78056 1.6048 2.20767 0.0202357 -0.0240425 -0.0543383
1.6341 1.82199 2.26762 0.0276755 -0.0507872 -0.0438521
2.11298 1.49579 2.41327 0.0350613 0.0279589 0.0575374
1.84331 1.30583 2.26865 -0.00437213 0.0103604 -0.0434755
1.67993 1.66625 2.34482 0.0364332 -0.057576 0.000808877
2.23807 1.70255 1.91643 0.145712 -0.071259 0.0152416
2.00326 1.38711 2.37855 -0.0284275 0.0310869 0.0279217
1.76635 1.27847 2.23722 0.0248085 0.00387872 -0.05199
2.02435 1.42891 1.93517 -0.0212665 0.0360018 0.016655
