Loading configuration file "../inputs/tiny.inp" ...
Initializing simulation state ...
# x y z u v w
5.14648 1.41965 1.03795 -0.0224057 0.0354886 -0.0351979
5.31447 1.74786 1.03898 0.0997805 -0.076894 -0.0346956
4.85397 1.82245 0.943664 0.0336193 -0.0504743 -0.0536363
5.11846 1.35327 0.807807 -0.0307991 0.0233001 -0.00987589
5.27756 1.25639 1.01738 0.0683531 0.000414279 -0.0439391
4.91625 1.47209 0.711978 0.0164469 0.0332623 0.0158026
5.13933 1.58062 1.13778 -0.0250152 -0.0100022 0.0357194
5.19449 1.70548 1.01495 0.0028753 -0.0720485 -0.0448024
4.86485 1.54992 1.07987 0.031593 0.00649093 -0.0100974
4.84834 1.56315 0.992894 0.0344775 -0.000345955 -0.0509165
5.22527 1.85833 0.855395 0.0249843 -0.0202102 -0.0292708
4.8754 1.27446 0.672105 0.0291913 0.00309518 0.0158541
4.81174 1.58351 1.16817 0.0366961 -0.0116499 0.0617301
5.34946 1.52212 0.625732 0.130067 0.018999 0.00217818
5.07392 1.65923 0.859957 -0.0340297 -0.0542281 -0.0310798
5.1171 1.35595 1.17231 -0.0310798 0.0239953 0.0652598
5.09222 1.82073 0.856525 -0.0341635 -0.0516257 -0.0297216
5.08093 1.8294 0.794666 -0.0343121 -0.0455651 -0.00481593
5.33654 1.5548 0.677547 0.118418 0.00402283 0.0162886
5.00863 1.65017 1.02582 -0.019853 -0.049652 -0.0406645
5.24726 1.86147 1.12707 0.0426679 -0.0168976 0.0266766
5.07143 1.31094 1.13457 -0.0338623 0.0117218 0.0329961
5.30784 1.42053 0.866759 0.0941982 0.0355525 -0.033718
5.3297 1.25029 0.696894 0.112586 3.92155e-06 0.0166847
5.12516 1.72969 0.758129 -0.0292436 -0.0764021 0.00717456
4.78573 1.39404 0.962179 0.0344545 0.032327 -0.0543235
5.08922 1.59088 0.901875 -0.034277 -0.0159039 -0.0455938
4.76308 1.52058 0.997341 0.0291762 0.0196084 -0.0499322
4.87477 1.41067 1.22099 0.0293467 0.0346567 0.106801
5.1548 1.81742 0.653465 -0.01897 -0.0537605 0.0131811
5.01408 1.62642 0.7731 -0.021679 -0.0366195 0.00270854
4.93743 1.28888 0.634519 0.00828239 0.00614517 0.00784778
4.8482 1.65167 0.708429 0.0344973 -0.0504254 0.0161013
5.10006 1.31058 1.21475 -0.0336079 0.0116248 0.101202
4.83871 1.68607 1.22456 0.0356363 -0.0658839 0.110168
5.08953 1.53792 0.754419 -0.0342678 0.0122307 0.00816854
5.07328 1.81344 0.785701 -0.0339898 -0.0562065 -0.00155186
5.05889 1.68459 0.993843 -0.032508 -0.065328 -0.0507169
4.80311 1.57475 1.16113 0.0363249 -0.00669534 0.0557026
5.32776 1.49499 1.13768 0.110951 0.0281791 0.0356316
5.21288 1.60152 0.872177 0.0156369 -0.0221198 -0.035759
4.9946 1.41236 0.933412 -0.0147951 0.0348374 -0.0524401
5.24375 1.44914 0.696241 0.0397738 0.03581 0.0166997
4.88698 1.68274 0.838507 0.0260929 -0.064621 -0.0223958
5.30001 1.83885 0.650984 0.0875559 -0.0381905 0.0126692
5.29652 1.66155 1.16795 0.084588 -0.0553566 0.0615445
4.86444 1.82033 1.06699 0.0316775 -0.0518871 -0.0187446
5.12439 1.48241 1.02466 -0.0294366 0.0312862 -0.0411411
4.83473 1.48446 0.830321 0.0359979 0.0308309 -0.0190184
5.16817 1.53599 1.17129 -0.012584 0.0131097 0.0643964
4.93447 1.63627 1.09266 0.00946324 -0.0421698 -0.000819882
5.35864 1.67355 1.03012 0.139829 -0.0608464 -0.0388294
5.14484 1.67619 0.860066 -0.0230324 -0.0619706 -0.0311226
4.75207 1.3555 0.815406 0.0236681 0.0238796 -0.0129146
5.20363 1.37971 0.698694 0.00903632 0.0296074 0.0166332
5.14238 1.40479 1.23055 -0.0239392 0.033945 0.116281
5.02215 1.29258 1.04821 -0.0242137 0.00701746 -0.0299076
4.77099 1.55682 1.22121 0.0315026 0.0029833 0.106998
4.8078 1.5485 0.880555 0.036571 0.00719252 -0.0387872
5.03101 1.2862 1.18416 -0.0267324 0.00553319 0.0753058
5.11431 1.37687 1.02504 -0.0316179 0.0290008 -0.0409866
4.98728 1.63241 0.802664 -0.0119874 -0.0400192 -0.00786191
5.14992 1.52582 0.964684 -0.0210339 0.0175023 -0.0542631
4.76382 1.44197 1.14024 0.0294243 0.0360913 0.0378124
5.12214 1.50038 1.0435 -0.0299803 0.026621 -0.0324098
5.03162 1.63286 1.13721 -0.0268965 -0.0402703 0.0352402
4.85937 1.49684 0.776552 0.0326721 0.0276608 0.00158334
5.31641 1.36882 1.12527 0.101418 0.0271781 0.0251761
5.29193 1.58528 0.717646 0.0806744 -0.0126696 0.0152113
4.97519 1.36348 0.737177 -0.00717629 0.0258926 0.0121347
5.28599 1.34556 0.938895 0.0755831 0.0212465 -0.0531489
4.904 1.28136 0.823894 0.0207652 0.00447786 -0.0163732
4.93629 1.82282 0.655075 0.00873924 -0.0502241 0.0134916
5.25459 1.65574 1.04325 0.0487966 -0.0524963 -0.0325401
4.76174 1.51301 0.69618 0.0287011 0.0224458 0.0167011
5.05734 1.36118 0.91861 -0.0322837 0.0253226 -0.0497793
5.09118 1.44166 1.01681 -0.0342092 0.0360981 -0.0441445
4.90559 1.82646 0.638402 0.0202253 -0.0476961 0.00928478
4.81586 1.72681 1.16238 0.0367491 -0.0760974 0.0567744
5.08945 1.35671 1.14495 -0.0342702 0.0241918 0.0418395
5.2636 1.87042 0.698066 0.0564163 -0.00649696 0.0166529
4.85903 1.59712 0.685567 0.0327365 -0.0195391 0.0166665
5.27588 1.66302 1.23379 0.0669169 -0.0560575 0.120001
5.18246 1.7521 0.757752 -0.00463535 -0.0766402 0.00727792
5.30157 1.60871 0.975364 0.0888829 -0.0263364 -0.0535784
5.29223 1.63055 0.959745 0.0809297 -0.0389701 -0.0543464
5.08708 1.74606 0.858662 -0.0343252 -0.0769588 -0.0305691
5.09031 1.28604 0.885169 -0.0342423 0.00549691 -0.0403784
5.22132 1.82439 0.904573 0.021949 -0.0491463 -0.0463449
5.012 1.51351 0.700131 -0.0209945 0.0222641 0.0165815
5.16329 1.85971 1.11542 -0.0150333 -0.0187732 0.0170409
5.10175 1.25171 0.883871 -0.033438 5.74852e-05 -0.0399369
5.10819 1.37359 0.671739 -0.0326292 0.0282754 0.0158195
5.23929 1.48234 0.852343 0.0361219 0.031301 -0.0280463
5.06848 1.4441 1.13257 -0.0336197 0.0360328 0.0313068
5.1613 1.33125 1.22393 -0.0159947 0.0173112 0.109555
4.9615 1.85222 1.19675 -0.00156877 -0.0262877 0.0859016
5.10937 1.74948 1.15349 -0.0324518 -0.0768139 0.0491579
5.05051 1.7446 0.856062 -0.0311513 -0.0769926 -0.0295372
5.22919 1.78431 0.658382 0.0280461 -0.0698975 0.0140783
4.89953 1.56913 0.895234 0.0222475 -0.00358211 -0.0436318
4.82685 1.58033 0.914173 0.0365074 -0.00983768 -0.0487836
5.27845 1.84655 1.18796 0.0691187 -0.0315566 0.0785099
4.85811 1.74348 1.22774 0.0329041 -0.0770072 0.113316
5.07625 1.76997 1.22167 -0.0341548 -0.0739695 0.107425
5.19571 1.80598 0.796512 0.00367575 -0.0604118 -0.00550858
5.0567 1.65694 0.711202 -0.0321872 -0.0530948 0.0158726
5.176 1.69231 0.914383 -0.00836527 -0.0681011 -0.0488328
4.81281 1.51574 1.15083 0.0367176 0.021451 0.0468711
5.08927 1.78707 1.05747 -0.0342758 -0.068916 -0.0246351
5.27136 1.74493 0.835582 0.0630467 -0.0769863 -0.0211895
5.35812 1.64241 1.20766 0.13921 -0.0455334 0.0950956
5.15046 1.37818 1.2398 -0.0208121 0.0292835 0.128421
4.84329 1.33991 1.14943 0.0351352 0.0197057 0.0456697
4.93411 1.45759 0.796732 0.00960871 0.0351666 -0.00559154
5.04809 1.44525 1.05007 -0.0306942 0.0359924 -0.0288824
4.78619 1.46524 1.24284 0.0345258 0.0342891 0.134191
4.80701 1.8725 1.14003 0.0365368 -0.00375947 0.0376404
4.75391 1.67255 0.871583 0.025035 -0.0604119 -0.0355381
5.06149 1.47418 1.18294 -0.032857 0.0329051 0.0742823
5.35107 1.77592 0.877341 0.13164 -0.0724925 -0.0376455
4.89296 1.84145 0.90792 0.0243218 -0.0360199 -0.0472377
5.33928 1.34768 0.955521 0.120794 0.0218183 -0.0543034
4.95635 1.57389 0.751755 0.000555015 -0.00621371 0.00885267
